date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:32	272/272	---M--	200	added ('OK')	text/plain	etag:%22110-52a8daa4bcdd4%22	https://ss64.com/robots.txt		(from )
16:59:32	3222/3222	---M--	200	added ('OK')	text/html	etag:%22c96-57aa84b86d130%22	https://ss64.com/	C:/My%20Web%20Sites/ss64/ss64.com/index.html	(from )
16:59:32	4913/4913	---M--	200	added ('OK')	text/css	etag:%221331-56b2b59fa7c13%22	https://ss64.com/main.css	C:/My%20Web%20Sites/ss64/ss64.com/main.css	(from https://ss64.com/)
16:59:33	2446/2446	---M--	200	added ('OK')	application/xml	etag:%2298e-5660ae6befb07%22	https://ss64.com/rss.xml	C:/My%20Web%20Sites/ss64/ss64.com/rss.xml	(from https://ss64.com/)
16:59:33	350/350	---M--	200	added ('OK')	application/xml	etag:%2215e-5660ae6d25bf9%22	https://ss64.com/opensearchdescription.xml	C:/My%20Web%20Sites/ss64/ss64.com/opensearchdescription.xml	(from https://ss64.com/)
16:59:34	19939/19939	---M--	200	added ('OK')	text/html	etag:%224de3-5793f5d24a3e4%22	https://ss64.com/bash/	C:/My%20Web%20Sites/ss64/ss64.com/bash/index.html	(from https://ss64.com/)
16:59:34	11106/11106	---M--	200	added ('OK')	text/html	etag:%222b62-56eacdffc2fd9%22	https://ss64.com/ascii.html	C:/My%20Web%20Sites/ss64/ss64.com/ascii.html	(from https://ss64.com/)
16:59:35	20434/20434	---M--	200	added ('OK')	text/html	etag:%224fd2-579764e08f935%22	https://ss64.com/nt/	C:/My%20Web%20Sites/ss64/ss64.com/nt/index.html	(from https://ss64.com/)
16:59:35	17523/17523	---M--	200	added ('OK')	text/html	etag:%224473-56d850a7c2909%22	https://ss64.com/convert.html	C:/My%20Web%20Sites/ss64/ss64.com/convert.html	(from https://ss64.com/)
16:59:35	22579/22579	---M--	200	added ('OK')	text/html	etag:%225833-57a2fe1a57817%22	https://ss64.com/osx/	C:/My%20Web%20Sites/ss64/ss64.com/osx/index.html	(from https://ss64.com/)
16:59:36	35726/35726	---M--	200	added ('OK')	text/html	etag:%228b8e-57aa8491f8928%22	https://ss64.com/ps/	C:/My%20Web%20Sites/ss64/ss64.com/ps/index.html	(from https://ss64.com/)
16:59:36	19641/19641	---M--	200	added ('OK')	text/html	etag:%224cb9-561d2218987dd%22	https://ss64.com/access/	C:/My%20Web%20Sites/ss64/ss64.com/access/index.html	(from https://ss64.com/)
16:59:36	14290/14290	---M--	200	added ('OK')	text/html	etag:%2237d2-561d3f560c44b%22	https://ss64.com/vb/	C:/My%20Web%20Sites/ss64/ss64.com/vb/index.html	(from https://ss64.com/)
